WT ,Tg
0.552397,0.855192
0.625,0.892913
0.959433,1.38
1.063981,1.395505
1.270427,1.53
1.65,1.829337
1.689,1.855806
1.693505,1.89
1.721027,1.917542
1.816833,1.985226
1.83,1.989206
1.84,1.996862
1.924419,2.02
1.926323,2.042447
1.96,2.05
2,2.09
2.05,2.099594
2.131814,2.12
2.140978,2.150914
2.156217,2.163199
2.24,2.2
2.25,2.280466
2.281303,2.30092
2.288946,2.4
2.289353,2.42
2.297242,2.452289
2.3,2.528
2.31752,2.532785
2.32,2.544306
2.33,2.61141
2.338975,2.801089
2.35,2.89
2.383375,
2.4,
2.532785,
2.63,
3.062353,
