,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
100,3,0,0,0,0,4,3,3,0,2,3,3,2,0,0,2,0,0,0,1,7,0,0,5,2,0,9,0,0,0,5,0,0,0,1,0,0,0,4,5,0,3,1,0,0,0,0,5,0,0,4,0,0,0,2,2,0,0,0,0,0,1,0,3,0,0,2,0,0
125,3,2,2,2,1,4,5,3,1,4,5,4,4,1,0,4,1,1,2,5,11,1,0,7,4,0,14,1,0,0,7,0,0,2,3,0,2,0,6,6,0,5,3,2,1,0,0,5,0,0,6,2,0,3,3,3,0,0,0,0,1,4,0,5,1,2,4,0,0
150,5,3,5,3,1,3,6,3,1,6,7,5,5,2,1,6,3,3,5,8,10,2,1,8,6,0,17,2,1,0,9,0,0,4,5,2,4,0,8,7,0,6,4,2,3,0,0,6,0,0,8,2,1,3,4,4,0,1,0,1,2,6,0,7,3,4,6,3,0
175,6,4,7,5,2,4,7,5,2,6,9,6,6,3,2,7,5,5,7,13,12,5,1,10,7,0,21,4,2,2,10,1,0,4,6,7,4,1,7,9,3,9,5,3,5,1,1,7,0,0,9,4,3,6,6,6,2,2,1,3,4,7,1,8,5,5,6,4,1
200,7,5,8,6,2,4,8,4,2,7,10,7,7,3,4,8,7,6,8,18,12,6,1,10,9,1,23,4,2,4,12,2,1,5,8,11,7,1,9,10,3,8,5,3,5,2,2,7,0,0,10,6,4,7,8,7,10,3,2,6,8,9,2,9,6,6,8,6,2
225,,,9,7,2,4,8,8,3,8,11,7,6,4,5,10,9,7,9,20,17,7,2,11,10,1,25,6,3,5,12,3,2,7,9,13,7,2,10,11,3,9,7,4,7,2,3,6,2,1,11,9,5,8,8,8,16,4,3,6,10,10,3,10,7,7,9,8,2
250,,,9,8,2,3,9,11,3,8,12,7,8,5,5,11,10,8,10,21,20,8,2,11,11,3,27,7,4,5,14,3,4,8,9,16,8,2,8,12,5,9,7,5,7,3,3,6,3,1,12,11,6,9,9,9,17,6,5,8,12,11,3,11,8,8,9,8,3
275,,,11,9,2,3,9,8,3,9,13,8,8,6,5,12,11,9,11,22,17,9,3,12,12,3,29,9,5,7,15,4,5,10,10,18,9,3,10,13,5,9,9,5,7,4,4,5,3,3,13,12,7,10,8,9,21,6,5,8,13,12,4,11,8,9,11,10,3
300,,,11,10,2,3,9,13,3,9,14,7,10,7,6,12,12,10,12,23,20,10,2,12,12,3,28,10,6,7,16,4,5,10,10,20,10,3,10,13,7,11,9,5,8,5,4,4,4,4,13,13,8,11,10,10,23,6,7,10,14,12,4,12,9,10,12,10,3
325,,,11,10,2,3,9,19,3,7,15,7,8,8,7,14,13,10,12,24,18,10,2,13,13,4,31,10,6,8,16,5,6,9,11,23,10,3,12,14,7,10,10,5,7,6,5,4,5,5,14,14,8,11,11,11,26,7,8,10,16,13,5,12,9,10,11,11,3
350,,,12,11,2,2,9,22,3,7,15,7,8,8,7,13,14,11,13,24,22,11,3,13,13,6,33,11,7,9,18,6,7,11,12,24,10,4,11,14,8,10,10,5,9,7,5,3,6,6,14,15,9,12,10,10,28,8,9,11,17,13,6,13,10,11,12,11,3
377,,,12,11,2,2,9,24,3,7,16,6,10,8,7,15,14,11,13,25,23,11,4,14,14,5,34,12,8,9,18,6,10,12,12,27,11,5,10,15,9,11,10,5,9,7,5,3,7,8,15,16,9,12,10,11,30,9,10,11,18,14,6,13,10,11,13,12,3
