WT,Tg
53.98535,45.7439
61.75552,53.55908
62.39917,54.05103
63.62109,65.94312
66.53809,66.58081
66.8252,69.31
67.34,69.42896
68.15,70.71216
69.19019,71.12207
69.66455,74.14136
72.41431,74.4436
73.01489,75.66943
75.84849,76.77905
78.20313,78.08008
78.58638,79.35278
79.23364,82.51538
79.68169,82.604
80.28145,83.53174
80.95581,83.93457
81.36,84.13477
82.05,86.3
82.60596,87.9292
84.60156,88.62
84.75,89.21
90.63,89.38
91.26,90.101
91.82,90.46802
91.98,91.33
92.63,92.58
93.2,94.53
93.86792,95.92
93.97,97.74
95.26782,
95.3,
97.87,
101.95,
103.8,
