WT,Tg
108.9773,51.17858
111.7164,76.01262
119.5848,95.49606
121.8099,98.42739
122.2814,99.49969
123.4466,101.9027
127.6048,103.2855
127.8949,108.3408
128.1275,115.5652
137.5251,115.8199
140.4952,121.428
141.8257,123.6634
143.1041,128.8575
144.6139,129.8678
154.7421,133.1934
155.2574,135.3573
157.4554,138.9398
162.0275,147.234
166.7587,164.5844
170.6318,165.2382
171.3625,166.8396
173.3297,167.0707
179.0758,173.0407
179.1509,175.4455
180.0764,176.4511
183.3128,185.2125
186.2862,190.2494
187.2318,192.2828
203.1297,204.6719
223.2721,229.1381
238.9384,243.9956
241.0682,296.4045
248.3749,
249.4061,
267.8895,
303.3158,
342.2365,
