,WT,Tg
2.5,0,0
7.5,0.01821,0.01737
12.5,0.23331,0.2447
17.5,0.50418,0.50677
22.5,0.68614,0.68516
27.5,0.80886,0.78755
32.5,0.87613,0.85544
37.5,0.91567,0.90189
42.5,0.93897,0.93054
47.5,0.95308,0.95399
52.5,0.96538,0.9691
57.5,0.97162,0.9779
62.5,0.97687,0.98489
67.5,0.98343,0.98985
72.5,0.98737,0.99369
77.5,0.99032,0.99459
82.5,0.99344,0.99526
87.5,0.99524,0.99617
92.5,0.99623,0.99684
97.5,0.9982,0.99842
102.5,0.99869,0.99887
107.5,0.99951,0.99932
112.5,0.99951,0.99955
117.5,1,1
