,WT,Tg
2021_05_05_004g,26.84623,22.54711
2021_07_14_004g,40.89918,15.30659
2021722004g,24.53865,31.53341
2021_07_28_004g,17.59062,30.38911
2021_07_28_012g,15.27318,11.91795
2021_07_29_003b,32.65247,21.59549
2021_07_29_021g,14.61569,15.28377
210729006gr,14.91477,19.16496
210729019gr,11.23338,17.67715
2021_08_04_014g,18.65828,26.16517
2107804005gr,19.59837,16.53797
2021_08_06_016g,18.82277,33.77303
2021_09_07_008g,25.18914,17.33395
2021_09_07_040b,25.0061,13.83088
2021_09_08_005b,52.67353,19.32482
2021_09_08_010g,26.23375,16.46589
21908009gr,23.72966,25.21997
2021_09_10_028g,19.2235,12.48337
2021_09_17_004g,24.53156,20.78094
2021_09_17_009g,19.79326,18.83184
2021_09_17_014g,19.98315,26.57073
2021_09_23_002g,24.19784,20.8283
2021_09_24_004b,35.00762,31.16711
2021331003g,19.39377,
2021331008g,25.34374,
21415007gr,16.107,
21415015gr,16.38048,
210702005gr,24.33562,
202172005g,13.60861,
202172103g,13.77712,
2021723004g,19.34531,
2021_07_27_003g,27.39776,
2021_07_27_019g,,
2021_08_03_005g,,
2021_08_03_023g,,
2021_08_03_042g,,
2021_08_10_009g,,
2021_08_10_036g,,
2021_08_13_004g,,
2021_08_13_024g,,
21914005gr,,
2021_09_14_008g,,
2021_09_14_016g,,
2021_09_14_027g,,
2021_09_14_033g,,
2021_09_15_006g,,
210915_006gr,,
2021_09_21_006g,,
2021_09_22_004g,,
2021_09_28_005b,,
2021_09_28_018b,,
2021_09_28_035b,,
2021_09_30_005b,,
2021_09_30_016b,,
2021_10_01_005b,,
