WT,Tg
1.035872,1.03725
1.053124,1.04902
1.062188,1.06824
1.081082,1.10314
1.089205,1.11063
1.089576,1.11911
1.101466,1.11999
1.10275,1.13293
1.117362,1.14618
1.120205,1.14918
1.123734,1.15563
1.126601,1.18012
1.130895,1.19222
1.131308,1.19576
1.131463,1.20777
1.131625,1.21901
1.155384,1.22312
1.160767,1.22316
1.167848,1.2299
1.168337,1.28386
1.171195,1.30643
1.179699,1.31907
1.181261,1.33297
1.181297,1.36406
1.186563,1.38515
1.187353,1.40471
1.190703,1.40755
1.195572,1.46655
1.205217,1.48384
1.206794,1.49326
1.243993,1.51987
1.290016,1.76989
1.301078,
1.369271,
1.486101,
1.500586,
1.5943,
